itinerary_id,activity_anchor,name,kind,park_name,area,source_page,window_label,commitment,include_in_catalog,notes
akl-precheck,akl-precheck,Animal Kingdom Lodge pre-check-in,hotel,Typhoon Lagoon / Resort,Animal Kingdom Lodge,docs/disney/day-01-typhoon-lagoon.md,≈8:30 a.m.,false,YES,
typhoon,typhoon,Typhoon Lagoon priorities,planned,Typhoon Lagoon,Water park,docs/disney/day-01-typhoon-lagoon.md,Opening–≈3:45 p.m.,false,YES,
jiko,jiko,Jiko dinner,meal,Animal Kingdom Lodge,Animal Kingdom Lodge,docs/disney/day-01-typhoon-lagoon.md,6:15 p.m.,false,YES,
navi,navi,Na’vi River Journey,planned,Animal Kingdom,Pandora · Early Entry,docs/disney/day-02-animal-kingdom-hollywood.md,≈7:30 a.m.,false,YES,
fop,fop,Avatar Flight of Passage,lightning,Animal Kingdom,Pandora,docs/disney/day-02-animal-kingdom-hollywood.md,9:00–10:00 a.m.,true,YES,
safari,safari,Kilimanjaro Safaris,planned,Animal Kingdom,Africa,docs/disney/day-02-animal-kingdom-hollywood.md,≈9:40–9:50 a.m.,false,YES,
gorilla,gorilla,Gorilla Falls Exploration Trail,planned,Animal Kingdom,Africa,docs/disney/day-02-animal-kingdom-hollywood.md,≈10:20–10:35 a.m.,false,YES,
lion,lion,Festival of the Lion King,show,Animal Kingdom,Africa,docs/disney/day-02-animal-kingdom-hollywood.md,11:00 a.m.,true,YES,
everest,everest,Expedition Everest,planned,Animal Kingdom,Asia,docs/disney/day-02-animal-kingdom-hollywood.md,≈12:15 p.m.,false,YES,
maharajah,maharajah,Maharajah Jungle Trek,planned,Animal Kingdom,Asia · optional,docs/disney/day-02-animal-kingdom-hollywood.md,Only if ahead,false,YES,
zootopia,zootopia,Zootopia: Better Zoogether!,show,Animal Kingdom,Discovery Island,docs/disney/day-02-animal-kingdom-hollywood.md,Target ≈12:25–12:35,false,YES,
tiffins,tiffins,Tiffins lunch,meal,Animal Kingdom,Discovery Island,docs/disney/day-02-animal-kingdom-hollywood.md,1:00 p.m.,true,YES,
transfer,transfer,Transfer to Hollywood Studios,transfer,Resort / Transportation,Disney bus,docs/disney/day-02-animal-kingdom-hollywood.md,Target ≈2:10 p.m.,false,NO,
