itinerary_id,itinerary_name,kind,park_scope,area,tpw_1_name,tpw_1_id,tpw_1_type,tpw_1_park,tpw_1_latitude,tpw_1_longitude,tpw_1_score,tpw_2_name,tpw_2_id,tpw_2_type,tpw_2_park,tpw_2_latitude,tpw_2_longitude,tpw_2_score,tpw_3_name,tpw_3_id,tpw_3_type,tpw_3_park,tpw_3_latitude,tpw_3_longitude,tpw_3_score,queue_1_name,queue_1_id,queue_1_type,queue_1_park,queue_1_latitude,queue_1_longitude,queue_1_score,queue_2_name,queue_2_id,queue_2_type,queue_2_park,queue_2_latitude,queue_2_longitude,queue_2_score,queue_3_name,queue_3_id,queue_3_type,queue_3_park,queue_3_latitude,queue_3_longitude,queue_3_score,selected_tpw_candidate,selected_queue_candidate,match_status,review_note,catalog_id,manual_latitude,manual_longitude,coordinate_parse_status,coordinate_status,coordinate_warning,coordinate_normalization_note,recommended_next_status,review_note_exported
alien,Alien Swirling Saucers,lightning,Hollywood Studios,Toy Story Land,,,,,,,,,,,,,,,,,,,,,,Alien Swirling Saucers,5477,ATTRACTION,Hollywood Studios,,,1,Star Wars: Rise of the Resistance Single Rider,14531,ATTRACTION,Hollywood Studios,,,0.4276,Slinky Dog Dash,5476,ATTRACTION,Hollywood Studios,,,0.4259,,1,APPROVED,,alien,,,NO_COORDINATE,MISSING,,,APPROVED,
berk,The Untrainable Dragon,show,Epic Universe,Isle of Berk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNRESOLVED,"28°26'23""N, 81°26'59""W",berk,28.43933,-81.445022,PARSED_DMS,VERIFIED_MANUAL,,Converted degrees/minutes/seconds to decimal degrees.,MANUAL,"28°26'23""N, 81°26'59""W"
blue,Blue Dragon dinner,meal,Epic Universe,Celestial Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNRESOLVED,"28.349, -81.442",blue,28.349,-81.442,PARSED_DECIMAL,PROVISIONAL_OUT_OF_RANGE,Coordinate is outside broad expected bounds for Epic Universe.,,MANUAL,"28.349, -81.442"
boma,Boma dinner,meal,Resort / Transportation,Animal Kingdom Lodge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNRESOLVED,"28.3533° N, 81.6025° W",boma,28.352306,-81.603306,PARSED_DECIMAL,VERIFIED_MANUAL,,,MANUAL,"28.3533° N, 81.6025° W"
bourne,The Bourne Stuntacular,show,Universal Studios Florida,Hollywood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNRESOLVED,"28.47596° N, -81.46692° W",bourne,28.476012,-81.467069,PARSED_DECIMAL,VERIFIED_MANUAL,,,MANUAL,"28.47596° N, -81.46692° W"
breakfast,Friar’s Nook breakfast,meal,Magic Kingdom,Fantasyland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNRESOLVED,"28.4194° N, 81.5812°",magic-kingdom--breakfast,28.420208,-81.580949,PARSED_DECIMAL,VERIFIED_MANUAL,,Inferred west longitude from Orlando context.,MANUAL,"28.4194° N, 81.5812°"
breakfast,Three Broomsticks breakfast,meal,Islands of Adventure,Hogsmeade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNRESOLVED,"28.4194° N, 81.5812°",islands-of-adventure--breakfast,28.472879,-81.472723,PARSED_DECIMAL,VERIFIED_MANUAL,Coordinate is outside broad expected bounds for Islands of Adventure.,Inferred west longitude from Orlando context.,MANUAL,"28.4194° N, 81.5812°"
everest,Expedition Everest,planned,Animal Kingdom,Asia,,,,,,,,,,,,,,,,,,,,,,Expedition Everest - Legend of the Forbidden Mountain,110,ATTRACTION,Animal Kingdom,,,1,Expedition Everest - Legend of the Forbidden Mountain Single Rider,14533,ATTRACTION,Animal Kingdom,,,1,Discovery Island Trails,13811,ATTRACTION,Animal Kingdom,,,0.4337,,1,APPROVED,,everest,,,NO_COORDINATE,MISSING,,,APPROVED,
express,Optional Hogwarts Express evening extension,planned,Islands of Adventure,Hogsmeade ↔ Diagon Alley,,,,,,,,,,,,,,,,,,,,,,Hogwarts Express™ - Hogsmeade™ Station,6015,ATTRACTION,Islands of Adventure,,,0.6089,The High in the Sky Seuss Trolley Train Ride!™,6001,ATTRACTION,Islands of Adventure,,,0.4178,The Incredible Hulk Coaster® Single Rider,15384,ATTRACTION,Islands of Adventure,,,0.4104,,1,APPROVED,,express,,,NO_COORDINATE,MISSING,,,APPROVED,
fop,Avatar Flight of Passage,lightning,Animal Kingdom,Pandora,,,,,,,,,,,,,,,,,,,,,,Avatar Flight of Passage,4439,ATTRACTION,Animal Kingdom,,,1,Tree of Life,13751,ATTRACTION,Animal Kingdom,,,0.4911,Feathered Friends in Flight!,10921,ATTRACTION,Animal Kingdom,,,0.4849,,1,APPROVED,,fop,,,NO_COORDINATE,MISSING,,,APPROVED,
