itinerary_id,itinerary_name,kind,park_name,area,tpw_candidate_name,tpw_id,tpw_type,tpw_latitude,tpw_longitude,tpw_score,queue_candidate_name,queue_park_id,queue_ride_id,queue_score,match_status,review_note
akl-precheck,Animal Kingdom Lodge pre-check-in,hotel,Typhoon Lagoon / Resort,Animal Kingdom Lodge,Disney's Animal Kingdom Theme Park,1c84a229-8862-4648-9c71-378ddd2c7693,,,,0.4959,,,,,REVIEW,
typhoon,Typhoon Lagoon priorities,planned,Typhoon Lagoon,Water park,Disney's Typhoon Lagoon Water Park,b070cbc5-feaa-4b87-a8c1-f94cca037a18,,,,0.5022,Astro Orbiter,6,248,0.3452,REVIEW,
jiko,Jiko dinner,meal,Animal Kingdom Lodge,Animal Kingdom Lodge,Tokyo DisneySea,67b290d5-3478-4f23-b601-2f8fb71ba803,,,,0.358,,,,,REVIEW,
navi,Na’vi River Journey,planned,Animal Kingdom,Pandora · Early Entry,Universal Volcano Bay,fe78a026-b91b-470c-b906-9d2266b692da,,,,0.3144,Na'vi River Journey,8,4438,1.0,REVIEW,
fop,Avatar Flight of Passage,lightning,Animal Kingdom,Pandora,,,,,,,Avatar Flight of Passage,8,4439,1.0,REVIEW,
safari,Kilimanjaro Safaris,planned,Animal Kingdom,Africa,Chimelong Safari Park,a148a943-616b-41c8-b5f8-27e67f7bdf33,,,,0.3423,Kilimanjaro Safaris,8,113,1.0,REVIEW,
gorilla,Gorilla Falls Exploration Trail,planned,Animal Kingdom,Africa,,,,,,,Gorilla Falls Exploration Trail,8,651,1.0,REVIEW,
lion,Festival of the Lion King,show,Animal Kingdom,Africa,Universal Studios Beijing,68e1d8f0-ed42-4351-af25-160421e37ce0,,,,0.3355,,,,,REVIEW,
everest,Expedition Everest,planned,Animal Kingdom,Asia,Alton Towers Resort,8e6bf2ae-77ac-403d-8e10-d7cd9b6c05d7,,,,0.3162,Expedition Everest - Legend of the Forbidden Mountain,8,110,1.0,REVIEW,
maharajah,Maharajah Jungle Trek,planned,Animal Kingdom,Asia · optional,,,,,,,Jungle Cruise,6,134,0.5395,REVIEW,
zootopia,Zootopia: Better Zoogether!,show,Animal Kingdom,Discovery Island,,,,,,,,,,,REVIEW,
tiffins,Tiffins lunch,meal,Animal Kingdom,Discovery Island,Kings Island,a0df8d87-7f72-4545-a58d-eb8aa76f914b,,,,0.332,,,,,REVIEW,
runaway,Runaway Railway decision point,planned,Hollywood Studios,Hollywood Boulevard · optional,Aqua Rabia Qiddiya City,1779db11-183d-4e04-a8be-38b4e522fcdf,,,,0.3051,Mickey & Minnie's Runaway Railway,7,6361,0.54,REVIEW,
star,Star Tours,lightning,Hollywood Studios,Echo Lake,Alton Towers,0d8ea921-37b1-4a9a-b8ef-5b45afea847b,,,,0.3661,Star Tours – The Adventures Continue,7,120,1.0,REVIEW,
rise,Rise of the Resistance,lightning,Hollywood Studios,Galaxy’s Edge,Worlds of Fun,bb731eae-7bd3-4713-bd7b-89d79b031743,,,,0.3809,Star Wars: Rise of the Resistance,7,6369,1.0,REVIEW,
alien,Alien Swirling Saucers,lightning,Hollywood Studios,Toy Story Land,Alton Towers,0d8ea921-37b1-4a9a-b8ef-5b45afea847b,,,,0.3174,Alien Swirling Saucers,7,5477,1.0,REVIEW,
slinky,Slinky Dog Dash,lightning,Hollywood Studios,Toy Story Land,,,,,,,Slinky Dog Dash,7,5476,1.0,REVIEW,
boma,Boma dinner,meal,Resort / Transportation,Animal Kingdom Lodge,Tokyo DisneySea,67b290d5-3478-4f23-b601-2f8fb71ba803,,,,0.3226,,,,,REVIEW,
checkout,Check out and leave luggage,hotel,Magic Kingdom / Transfer,Animal Kingdom Lodge,Michigan's Adventure,e9805d65-edad-4700-8942-946e6a2b4784,,,,0.3014,,,,,REVIEW,
seven,Seven Dwarfs Mine Train,planned,Magic Kingdom,Fantasyland,Six Flags Magic Mountain,c6073ab0-83aa-4e25-8d60-12c8f25684bc,,,,0.36,Seven Dwarfs Mine Train,6,129,1.0,REVIEW,
space,Space Mountain,planned,Magic Kingdom,Tomorrowland,Six Flags Magic Mountain,c6073ab0-83aa-4e25-8d60-12c8f25684bc,,,,0.5086,Space Mountain,6,138,1.0,REVIEW,
breakfast,Friar’s Nook breakfast,meal,Magic Kingdom,Fantasyland,Heide Park Resort,0976f1b8-5782-4cda-887f-dc1d537d8d6e,,,,0.3,,,,,REVIEW,
tiana,Tiana’s Bayou Adventure,lightning,Magic Kingdom,Frontierland,Michigan's Adventure,e9805d65-edad-4700-8942-946e6a2b4784,,,,0.5567,Tiana's Bayou Adventure,6,13630,1.0,REVIEW,
haunted,Haunted Mansion,lightning,Magic Kingdom,Liberty Square,Kings Dominion,95162318-b955-4b7e-b601-a99033aa0279,,,,0.3408,Haunted Mansion,6,140,1.0,REVIEW,
pirates,Pirates of the Caribbean,lightning,Magic Kingdom,Adventureland,Caribbean Bay,de3955e7-e3b7-4b85-884b-2d0fb2c1d71c,,,,0.4532,Pirates of the Caribbean,6,137,1.0,REVIEW,
lunch,Quick-service lunch,meal,Magic Kingdom,Nearby land,Aquatica Orlando,9e2867f8-68eb-454f-b367-0ed0fd72d72a,,,,0.3104,,,,,REVIEW,
hardrock,"Hard Rock check-in, dinner and pool",hotel,Hard Rock Hotel,Hard Rock Hotel,Hong Kong Disneyland Park,bd0eb47b-2f02-4d4d-90fa-cb3a68988e3b,,,,0.3186,,,,,REVIEW,
