itinerary_id,itinerary_name,kind,park_scope,area,tpw_1_name,tpw_1_id,tpw_1_type,tpw_1_park,tpw_1_latitude,tpw_1_longitude,tpw_1_score,tpw_2_name,tpw_2_id,tpw_2_type,tpw_2_park,tpw_2_latitude,tpw_2_longitude,tpw_2_score,tpw_3_name,tpw_3_id,tpw_3_type,tpw_3_park,tpw_3_latitude,tpw_3_longitude,tpw_3_score,queue_1_name,queue_1_id,queue_1_type,queue_1_park,queue_1_latitude,queue_1_longitude,queue_1_score,queue_2_name,queue_2_id,queue_2_type,queue_2_park,queue_2_latitude,queue_2_longitude,queue_2_score,queue_3_name,queue_3_id,queue_3_type,queue_3_park,queue_3_latitude,queue_3_longitude,queue_3_score,selected_tpw_candidate,selected_queue_candidate,match_status,review_note
typhoon,Typhoon Lagoon priorities,planned,Typhoon Lagoon,Water park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REVIEW,
jiko,Jiko dinner,meal,Animal Kingdom Lodge,Animal Kingdom Lodge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REVIEW,
navi,Na’vi River Journey,planned,Animal Kingdom,Pandora · Early Entry,,,,,,,,,,,,,,,,,,,,,,Na'vi River Journey,4438,ATTRACTION,Animal Kingdom,,,1.0,Kali River Rapids,112,ATTRACTION,Animal Kingdom,,,0.5994,Meet Moana at Character Landing,12451,ATTRACTION,Animal Kingdom,,,0.414,,1,REVIEW,
fop,Avatar Flight of Passage,lightning,Animal Kingdom,Pandora,,,,,,,,,,,,,,,,,,,,,,Avatar Flight of Passage,4439,ATTRACTION,Animal Kingdom,,,1.0,Tree of Life,13751,ATTRACTION,Animal Kingdom,,,0.4911,Feathered Friends in Flight!,10921,ATTRACTION,Animal Kingdom,,,0.4849,,1,REVIEW,
safari,Kilimanjaro Safaris,planned,Animal Kingdom,Africa,,,,,,,,,,,,,,,,,,,,,,Kilimanjaro Safaris,113,ATTRACTION,Animal Kingdom,,,1.0,Kali River Rapids,112,ATTRACTION,Animal Kingdom,,,0.4328,Animal Care at Conservation Station,13806,ATTRACTION,Animal Kingdom,,,0.4207,,1,REVIEW,
gorilla,Gorilla Falls Exploration Trail,planned,Animal Kingdom,Africa,,,,,,,,,,,,,,,,,,,,,,Gorilla Falls Exploration Trail,651,ATTRACTION,Animal Kingdom,,,1.0,Wildlife Express Train,655,ATTRACTION,Animal Kingdom,,,0.5234,Bluey's Wild World at Conservation Station,16545,ATTRACTION,Animal Kingdom,,,0.4827,,1,REVIEW,
lion,Festival of the Lion King,show,Animal Kingdom,Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REVIEW,
everest,Expedition Everest,planned,Animal Kingdom,Asia,,,,,,,,,,,,,,,,,,,,,,Expedition Everest - Legend of the Forbidden Mountain,110,ATTRACTION,Animal Kingdom,,,1.0,Expedition Everest - Legend of the Forbidden Mountain Single Rider,14533,ATTRACTION,Animal Kingdom,,,1.0,Discovery Island Trails,13811,ATTRACTION,Animal Kingdom,,,0.4337,,1,REVIEW,
maharajah,Maharajah Jungle Trek,planned,Animal Kingdom,Asia · optional,,,,,,,,,,,,,,,,,,,,,,Kilimanjaro Safaris,113,ATTRACTION,Animal Kingdom,,,0.4075,Na'vi River Journey,4438,ATTRACTION,Animal Kingdom,,,0.4075,Meet Moana at Character Landing,12451,ATTRACTION,Animal Kingdom,,,0.405,,1,REVIEW,
zootopia,Zootopia: Better Zoogether!,show,Animal Kingdom,Discovery Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REVIEW,
