REVIEW_STATUS,USER_SELECTION,LIVE_RIDE_NAME__MATCH_THIS,PARK__MUST_MATCH,QUEUE_TIMES_PARK_ID,QUEUE_TIMES_RIDE_ID,EXISTING_CATALOG_ID,EXISTING_CATALOG_NAME,EXISTING_MATCH_REASON,RECOMMENDED_SELECTION,WHAT_TO_VERIFY,MANUAL_LATITUDE,MANUAL_LONGITUDE,REVIEW_NOTES,SOURCE_PAGE,CANDIDATE_1_TPW_ID,CANDIDATE_1_NAME,CANDIDATE_1_ENTITY_TYPE,CANDIDATE_1_SCORE,CANDIDATE_1_LATITUDE,CANDIDATE_1_LONGITUDE,CANDIDATE_1_MAP,CANDIDATE_1_API,CANDIDATE_2_TPW_ID,CANDIDATE_2_NAME,CANDIDATE_2_ENTITY_TYPE,CANDIDATE_2_SCORE,CANDIDATE_2_LATITUDE,CANDIDATE_2_LONGITUDE,CANDIDATE_2_MAP,CANDIDATE_2_API,CANDIDATE_3_TPW_ID,CANDIDATE_3_NAME,CANDIDATE_3_ENTITY_TYPE,CANDIDATE_3_SCORE,CANDIDATE_3_LATITUDE,CANDIDATE_3_LONGITUDE,CANDIDATE_3_MAP,CANDIDATE_3_API
AUTO_RECOMMENDED,CANDIDATE_1,Bowser Jr. Challenge,Epic Universe,334,14682,,,NONE,CANDIDATE_1,Compare the LIVE_RIDE_NAME to candidate name; confirm the candidate is the same attraction in the PARK shown; prefer an ATTRACTION entrance location.,,,,docs/universal/day-04-epic-universe.md,0c6a9af8-c006-4849-8475-1a6925e8f7d4,Bowser Jr. Challenge,ATTRACTION,1,28.439046,-81.447956,"https://www.google.com/maps/search/?api=1&query=28.439046,-81.447956",https://api.themeparks.wiki/v1/entity/0c6a9af8-c006-4849-8475-1a6925e8f7d4,43df71bf-aa7c-46c0-925c-46f69d8bf23f,Mario Kart™: Bowser's Challenge,ATTRACTION,0.4907,28.43875,-81.44783,"https://www.google.com/maps/search/?api=1&query=28.43875,-81.44783",https://api.themeparks.wiki/v1/entity/43df71bf-aa7c-46c0-925c-46f69d8bf23f,00feb57b-4fcc-48bc-9490-c9af71f30c1c,Yoshi's Adventure™,ATTRACTION,0.2316,28.43904,-81.44817,"https://www.google.com/maps/search/?api=1&query=28.43904,-81.44817",https://api.themeparks.wiki/v1/entity/00feb57b-4fcc-48bc-9490-c9af71f30c1c
AUTO_RECOMMENDED,CANDIDATE_1,Constellation Carousel,Epic Universe,334,14688,,,NONE,CANDIDATE_1,Compare the LIVE_RIDE_NAME to candidate name; confirm the candidate is the same attraction in the PARK shown; prefer an ATTRACTION entrance location.,,,,docs/universal/day-04-epic-universe.md,07143999-bacd-475f-a00b-8cc476204aff,Constellation Carousel,ATTRACTION,1,28.44033,-81.44805,"https://www.google.com/maps/search/?api=1&query=28.44033,-81.44805",https://api.themeparks.wiki/v1/entity/07143999-bacd-475f-a00b-8cc476204aff,adb664e3-73a0-4fb9-be8f-8bcf52834b93,Viking Training Camp,ATTRACTION,0.2095,28.441037,-81.445923,"https://www.google.com/maps/search/?api=1&query=28.441037,-81.445923",https://api.themeparks.wiki/v1/entity/adb664e3-73a0-4fb9-be8f-8bcf52834b93,5fc2be0f-bf95-4fb7-b0fb-85b067d2fbb0,The Cosmos Fountain,SHOW,0.2081,28.440233,-81.44819,"https://www.google.com/maps/search/?api=1&query=28.440233,-81.44819",https://api.themeparks.wiki/v1/entity/5fc2be0f-bf95-4fb7-b0fb-85b067d2fbb0
AUTO_RECOMMENDED,CANDIDATE_1,Curse of the Werewolf,Epic Universe,334,14692,,,NONE,CANDIDATE_1,Compare the LIVE_RIDE_NAME to candidate name; confirm the candidate is the same attraction in the PARK shown; prefer an ATTRACTION entrance location.,,,,docs/universal/day-04-epic-universe.md,eaca831d-bcbb-4a1e-9bf0-6ea97ccc88e0,Curse of the Werewolf,ATTRACTION,1,28.43995,-81.45002,"https://www.google.com/maps/search/?api=1&query=28.43995,-81.45002",https://api.themeparks.wiki/v1/entity/eaca831d-bcbb-4a1e-9bf0-6ea97ccc88e0,281bc9e6-b208-4a70-85d2-0fb749c7658b,Fyre Drill,ATTRACTION,0.2037,28.44061,-81.44545,"https://www.google.com/maps/search/?api=1&query=28.44061,-81.44545",https://api.themeparks.wiki/v1/entity/281bc9e6-b208-4a70-85d2-0fb749c7658b,db66f41b-59eb-4c9b-b80c-94d8542e8fdd,Say Hello to the Residents of Darkmoor Village,SHOW,0.188,28.4405,-81.44982,"https://www.google.com/maps/search/?api=1&query=28.4405,-81.44982",https://api.themeparks.wiki/v1/entity/db66f41b-59eb-4c9b-b80c-94d8542e8fdd
AUTO_RECOMMENDED,CANDIDATE_1,Dragon Racer's Rally,Epic Universe,334,14693,,,NONE,CANDIDATE_1,Compare the LIVE_RIDE_NAME to candidate name; confirm the candidate is the same attraction in the PARK shown; prefer an ATTRACTION entrance location.,,,,docs/universal/day-04-epic-universe.md,76caa8d0-f54b-4601-9d57-a7f1ddc02af4,Dragon Racer's Rally,ATTRACTION,1,28.44122,-81.44549,"https://www.google.com/maps/search/?api=1&query=28.44122,-81.44549",https://api.themeparks.wiki/v1/entity/76caa8d0-f54b-4601-9d57-a7f1ddc02af4,43df71bf-aa7c-46c0-925c-46f69d8bf23f,Mario Kart™: Bowser's Challenge,ATTRACTION,0.281,28.43875,-81.44783,"https://www.google.com/maps/search/?api=1&query=28.43875,-81.44783",https://api.themeparks.wiki/v1/entity/43df71bf-aa7c-46c0-925c-46f69d8bf23f,447033ce-ee1f-4cca-bb12-47d22583ac12,Stardust Racers,ATTRACTION,0.2514,28.441622,-81.447095,"https://www.google.com/maps/search/?api=1&query=28.441622,-81.447095",https://api.themeparks.wiki/v1/entity/447033ce-ee1f-4cca-bb12-47d22583ac12
AUTO_RECOMMENDED,CANDIDATE_1,Fyre Drill,Epic Universe,334,14691,,,NONE,CANDIDATE_1,Compare the LIVE_RIDE_NAME to candidate name; confirm the candidate is the same attraction in the PARK shown; prefer an ATTRACTION entrance location.,,,,docs/universal/day-04-epic-universe.md,281bc9e6-b208-4a70-85d2-0fb749c7658b,Fyre Drill,ATTRACTION,1,28.44061,-81.44545,"https://www.google.com/maps/search/?api=1&query=28.44061,-81.44545",https://api.themeparks.wiki/v1/entity/281bc9e6-b208-4a70-85d2-0fb749c7658b,e3dd1ecd-f674-4aa7-83d9-9c7b4a8c886d,The Untrainable Dragon,SHOW,0.1964,28.44004,-81.44463,"https://www.google.com/maps/search/?api=1&query=28.44004,-81.44463",https://api.themeparks.wiki/v1/entity/e3dd1ecd-f674-4aa7-83d9-9c7b4a8c886d,db66f41b-59eb-4c9b-b80c-94d8542e8fdd,Say Hello to the Residents of Darkmoor Village,SHOW,0.1904,28.4405,-81.44982,"https://www.google.com/maps/search/?api=1&query=28.4405,-81.44982",https://api.themeparks.wiki/v1/entity/db66f41b-59eb-4c9b-b80c-94d8542e8fdd
MANUAL_REVIEW,CANDIDATE_1,Harry Potter and the Battle at the Ministry,Epic Universe,334,,,,NONE,,Compare the LIVE_RIDE_NAME to candidate name; confirm the candidate is the same attraction in the PARK shown; prefer an ATTRACTION entrance location.,,,,docs/universal/day-04-epic-universe.md,dbc4f0d8-fdef-4dfc-a1c2-33917f742f40,Harry Potter and the Battle at the Ministry™,ATTRACTION,0.8667,28.4429,-81.44809,"https://www.google.com/maps/search/?api=1&query=28.4429,-81.44809",https://api.themeparks.wiki/v1/entity/dbc4f0d8-fdef-4dfc-a1c2-33917f742f40,4cd6ac88-3945-49bb-ad20-2ce04a3f9628,Meet Mario and Luigi,SHOW,0.2764,28.43913,-81.44807,"https://www.google.com/maps/search/?api=1&query=28.43913,-81.44807",https://api.themeparks.wiki/v1/entity/4cd6ac88-3945-49bb-ad20-2ce04a3f9628,9d47d7fe-ff0d-4a52-bf9d-1e07436aa22c,Meet Toothless and Friends,SHOW,0.2713,28.44,-81.44511,"https://www.google.com/maps/search/?api=1&query=28.44,-81.44511",https://api.themeparks.wiki/v1/entity/9d47d7fe-ff0d-4a52-bf9d-1e07436aa22c
AUTO_RECOMMENDED,CANDIDATE_1,Hiccup's Wing Gliders,Epic Universe,334,14695,,,NONE,CANDIDATE_1,Compare the LIVE_RIDE_NAME to candidate name; confirm the candidate is the same attraction in the PARK shown; prefer an ATTRACTION entrance location.,,,,docs/universal/day-04-epic-universe.md,c6b1b8cf-55ef-416c-b00d-e469993617b0,Hiccup's Wing Gliders,ATTRACTION,1,28.44114,-81.44518,"https://www.google.com/maps/search/?api=1&query=28.44114,-81.44518",https://api.themeparks.wiki/v1/entity/c6b1b8cf-55ef-416c-b00d-e469993617b0,00feb57b-4fcc-48bc-9490-c9af71f30c1c,Yoshi's Adventure™,ATTRACTION,0.2508,28.43904,-81.44817,"https://www.google.com/maps/search/?api=1&query=28.43904,-81.44817",https://api.themeparks.wiki/v1/entity/00feb57b-4fcc-48bc-9490-c9af71f30c1c,eaca831d-bcbb-4a1e-9bf0-6ea97ccc88e0,Curse of the Werewolf,ATTRACTION,0.2026,28.43995,-81.45002,"https://www.google.com/maps/search/?api=1&query=28.43995,-81.45002",https://api.themeparks.wiki/v1/entity/eaca831d-bcbb-4a1e-9bf0-6ea97ccc88e0
MANUAL_REVIEW,CANDIDATE_1,Mario Kart: Bowser's Challenge,Epic Universe,334,,,,NONE,,Compare the LIVE_RIDE_NAME to candidate name; confirm the candidate is the same attraction in the PARK shown; prefer an ATTRACTION entrance location.,,,,docs/universal/day-04-epic-universe.md,43df71bf-aa7c-46c0-925c-46f69d8bf23f,Mario Kart™: Bowser's Challenge,ATTRACTION,0.765,28.43875,-81.44783,"https://www.google.com/maps/search/?api=1&query=28.43875,-81.44783",https://api.themeparks.wiki/v1/entity/43df71bf-aa7c-46c0-925c-46f69d8bf23f,0c6a9af8-c006-4849-8475-1a6925e8f7d4,Bowser Jr. Challenge,ATTRACTION,0.5063,28.439046,-81.447956,"https://www.google.com/maps/search/?api=1&query=28.439046,-81.447956",https://api.themeparks.wiki/v1/entity/0c6a9af8-c006-4849-8475-1a6925e8f7d4,76caa8d0-f54b-4601-9d57-a7f1ddc02af4,Dragon Racer's Rally,ATTRACTION,0.2907,28.44122,-81.44549,"https://www.google.com/maps/search/?api=1&query=28.44122,-81.44549",https://api.themeparks.wiki/v1/entity/76caa8d0-f54b-4601-9d57-a7f1ddc02af4
AUTO_RECOMMENDED,CANDIDATE_1,Meet Toothless and Friends,Epic Universe,334,14685,,,NONE,CANDIDATE_1,Compare the LIVE_RIDE_NAME to candidate name; confirm the candidate is the same attraction in the PARK shown; prefer an ATTRACTION entrance location.,,,,docs/universal/day-04-epic-universe.md,9d47d7fe-ff0d-4a52-bf9d-1e07436aa22c,Meet Toothless and Friends,SHOW,1,28.44,-81.44511,"https://www.google.com/maps/search/?api=1&query=28.44,-81.44511",https://api.themeparks.wiki/v1/entity/9d47d7fe-ff0d-4a52-bf9d-1e07436aa22c,4cd6ac88-3945-49bb-ad20-2ce04a3f9628,Meet Mario and Luigi,SHOW,0.4036,28.43913,-81.44807,"https://www.google.com/maps/search/?api=1&query=28.43913,-81.44807",https://api.themeparks.wiki/v1/entity/4cd6ac88-3945-49bb-ad20-2ce04a3f9628,fe3eb8a9-0022-40a6-989e-1d71d88e1ed3,Meet Toad,SHOW,0.3529,28.439256,-81.44808,"https://www.google.com/maps/search/?api=1&query=28.439256,-81.44808",https://api.themeparks.wiki/v1/entity/fe3eb8a9-0022-40a6-989e-1d71d88e1ed3
MANUAL_REVIEW,CANDIDATE_1,Mine-Cart Madness,Epic Universe,334,,,,NONE,,Compare the LIVE_RIDE_NAME to candidate name; confirm the candidate is the same attraction in the PARK shown; prefer an ATTRACTION entrance location.,,,,docs/universal/day-04-epic-universe.md,dd8c015d-511f-47d4-b98b-18ce15735588,Mine-Cart Madness™,ATTRACTION,0.7944,28.438084,-81.448769,"https://www.google.com/maps/search/?api=1&query=28.438084,-81.448769",https://api.themeparks.wiki/v1/entity/dd8c015d-511f-47d4-b98b-18ce15735588,fe3eb8a9-0022-40a6-989e-1d71d88e1ed3,Meet Toad,SHOW,0.2538,28.439256,-81.44808,"https://www.google.com/maps/search/?api=1&query=28.439256,-81.44808",https://api.themeparks.wiki/v1/entity/fe3eb8a9-0022-40a6-989e-1d71d88e1ed3,447033ce-ee1f-4cca-bb12-47d22583ac12,Stardust Racers,ATTRACTION,0.2406,28.441622,-81.447095,"https://www.google.com/maps/search/?api=1&query=28.441622,-81.447095",https://api.themeparks.wiki/v1/entity/447033ce-ee1f-4cca-bb12-47d22583ac12
AUTO_RECOMMENDED,CANDIDATE_1,Stardust Racers,Epic Universe,334,14690,,,NONE,CANDIDATE_1,Compare the LIVE_RIDE_NAME to candidate name; confirm the candidate is the same attraction in the PARK shown; prefer an ATTRACTION entrance location.,,,,docs/universal/day-04-epic-universe.md,447033ce-ee1f-4cca-bb12-47d22583ac12,Stardust Racers,ATTRACTION,1,28.441622,-81.447095,"https://www.google.com/maps/search/?api=1&query=28.441622,-81.447095",https://api.themeparks.wiki/v1/entity/447033ce-ee1f-4cca-bb12-47d22583ac12,76caa8d0-f54b-4601-9d57-a7f1ddc02af4,Dragon Racer's Rally,ATTRACTION,0.2514,28.44122,-81.44549,"https://www.google.com/maps/search/?api=1&query=28.44122,-81.44549",https://api.themeparks.wiki/v1/entity/76caa8d0-f54b-4601-9d57-a7f1ddc02af4,07143999-bacd-475f-a00b-8cc476204aff,Constellation Carousel,ATTRACTION,0.2081,28.44033,-81.44805,"https://www.google.com/maps/search/?api=1&query=28.44033,-81.44805",https://api.themeparks.wiki/v1/entity/07143999-bacd-475f-a00b-8cc476204aff
MANUAL_REVIEW,CANDIDATE_2,Yoshi's Adventure,Epic Universe,334,,,,NONE,,Compare the LIVE_RIDE_NAME to candidate name; confirm the candidate is the same attraction in the PARK shown; prefer an ATTRACTION entrance location.,,,,docs/universal/day-04-epic-universe.md,00feb57b-4fcc-48bc-9490-c9af71f30c1c,Yoshi's Adventure™,ATTRACTION,0.7944,28.43904,-81.44817,"https://www.google.com/maps/search/?api=1&query=28.43904,-81.44817",https://api.themeparks.wiki/v1/entity/00feb57b-4fcc-48bc-9490-c9af71f30c1c,c6b1b8cf-55ef-416c-b00d-e469993617b0,Hiccup's Wing Gliders,ATTRACTION,0.2899,28.44114,-81.44518,"https://www.google.com/maps/search/?api=1&query=28.44114,-81.44518",https://api.themeparks.wiki/v1/entity/c6b1b8cf-55ef-416c-b00d-e469993617b0,43df71bf-aa7c-46c0-925c-46f69d8bf23f,Mario Kart™: Bowser's Challenge,ATTRACTION,0.2563,28.43875,-81.44783,"https://www.google.com/maps/search/?api=1&query=28.43875,-81.44783",https://api.themeparks.wiki/v1/entity/43df71bf-aa7c-46c0-925c-46f69d8bf23f
MANUAL_REVIEW,CANDIDATE_3,Camp Jurassic,Islands of Adventure,64,,,,NONE,,Compare the LIVE_RIDE_NAME to candidate name; confirm the candidate is the same attraction in the PARK shown; prefer an ATTRACTION entrance location.,,,,docs/universal/day-05-islands-of-adventure.md,f6dba1c6-6f5a-4743-8470-f741ecac555d,Camp Jurassic™,ATTRACTION,0.7274,28.470134,-81.4727356,"https://www.google.com/maps/search/?api=1&query=28.470134,-81.4727356",https://api.themeparks.wiki/v1/entity/f6dba1c6-6f5a-4743-8470-f741ecac555d,61079a31-4165-4fb0-b36f-c01c5971f80a,Jurassic World VelociCoaster,ATTRACTION,0.3021,28.471429,-81.472284,"https://www.google.com/maps/search/?api=1&query=28.471429,-81.472284",https://api.themeparks.wiki/v1/entity/61079a31-4165-4fb0-b36f-c01c5971f80a,db5b2165-15c2-4e51-8bd1-611e9c351866,Jurassic Park River Adventure,ATTRACTION,0.2795,28.470597,-81.473134,"https://www.google.com/maps/search/?api=1&query=28.470597,-81.473134",https://api.themeparks.wiki/v1/entity/db5b2165-15c2-4e51-8bd1-611e9c351866
MANUAL_REVIEW,CANDIDATE_4,Caro-Seuss-el,Islands of Adventure,64,,,,NONE,,Compare the LIVE_RIDE_NAME to candidate name; confirm the candidate is the same attraction in the PARK shown; prefer an ATTRACTION entrance location.,,,,docs/universal/day-05-islands-of-adventure.md,3cb52134-e9d6-4212-83c8-3ce1321dcb05,Caro-Seuss-el™,ATTRACTION,0.7857,28.472912845317136,-81.46954427,"https://www.google.com/maps/search/?api=1&query=28.472912845317136,-81.46954426939665",https://api.themeparks.wiki/v1/entity/3cb52134-e9d6-4212-83c8-3ce1321dcb05,f6d4294c-8825-4712-a891-36d45b5eb0f4,Seuss Character Zone,SHOW,0.3033,28.473045,-81.47006,"https://www.google.com/maps/search/?api=1&query=28.473045,-81.47006",https://api.themeparks.wiki/v1/entity/f6d4294c-8825-4712-a891-36d45b5eb0f4,b73e3256-9ee0-439e-9a3b-ffed287e10bb,The High in the Sky Seuss Trolley Train Ride!™,ATTRACTION,0.2042,28.473011,-81.470178,"https://www.google.com/maps/search/?api=1&query=28.473011,-81.470178",https://api.themeparks.wiki/v1/entity/b73e3256-9ee0-439e-9a3b-ffed287e10bb
AUTO_RECOMMENDED,CANDIDATE_5,Doctor Doom's Fearfall,Islands of Adventure,64,5988,,,NONE,CANDIDATE_1,Compare the LIVE_RIDE_NAME to candidate name; confirm the candidate is the same attraction in the PARK shown; prefer an ATTRACTION entrance location.,,,,docs/universal/day-05-islands-of-adventure.md,2f95b213-daaa-4370-8349-c2cd57be470e,Doctor Doom's Fearfall®,ATTRACTION,1,28.470678,-81.469502,"https://www.google.com/maps/search/?api=1&query=28.470678,-81.469502",https://api.themeparks.wiki/v1/entity/2f95b213-daaa-4370-8349-c2cd57be470e,905d7888-b866-4e74-90d1-07fc6ef6706f,Dudley Do-Right's Ripsaw Falls®,ATTRACTION,0.2927,28.4695018,-81.4714998,"https://www.google.com/maps/search/?api=1&query=28.4695018,-81.4714998",https://api.themeparks.wiki/v1/entity/905d7888-b866-4e74-90d1-07fc6ef6706f,b4445a1c-4d5c-4fca-a04a-f8867f1b6619,Popeye & Bluto's Bilge-Rat Barges®,ATTRACTION,0.2257,28.470448,-81.471401,"https://www.google.com/maps/search/?api=1&query=28.470448,-81.471401",https://api.themeparks.wiki/v1/entity/b4445a1c-4d5c-4fca-a04a-f8867f1b6619
AUTO_RECOMMENDED,CANDIDATE_6,Dudley Do-Right's Ripsaw Falls,Islands of Adventure,64,5989,,,NONE,CANDIDATE_1,Compare the LIVE_RIDE_NAME to candidate name; confirm the candidate is the same attraction in the PARK shown; prefer an ATTRACTION entrance location.,,,,docs/universal/day-05-islands-of-adventure.md,905d7888-b866-4e74-90d1-07fc6ef6706f,Dudley Do-Right's Ripsaw Falls®,ATTRACTION,1,28.4695018,-81.4714998,"https://www.google.com/maps/search/?api=1&query=28.4695018,-81.4714998",https://api.themeparks.wiki/v1/entity/905d7888-b866-4e74-90d1-07fc6ef6706f,2f95b213-daaa-4370-8349-c2cd57be470e,Doctor Doom's Fearfall®,ATTRACTION,0.2927,28.470678,-81.469502,"https://www.google.com/maps/search/?api=1&query=28.470678,-81.469502",https://api.themeparks.wiki/v1/entity/2f95b213-daaa-4370-8349-c2cd57be470e,23b613e0-ae83-455b-9163-231bdbd5c427,Flight of the Hippogriff™,ATTRACTION,0.2115,28.472416,-81.473636,"https://www.google.com/maps/search/?api=1&query=28.472416,-81.473636",https://api.themeparks.wiki/v1/entity/23b613e0-ae83-455b-9163-231bdbd5c427
MANUAL_REVIEW,CANDIDATE_7,Flight of the Hippogriff,Islands of Adventure,64,,,,NONE,,Compare the LIVE_RIDE_NAME to candidate name; confirm the candidate is the same attraction in the PARK shown; prefer an ATTRACTION entrance location.,,,,docs/universal/day-07-departure.md,23b613e0-ae83-455b-9163-231bdbd5c427,Flight of the Hippogriff™,ATTRACTION,0.7988,28.472416,-81.473636,"https://www.google.com/maps/search/?api=1&query=28.472416,-81.473636",https://api.themeparks.wiki/v1/entity/23b613e0-ae83-455b-9163-231bdbd5c427,370ba4d1-f199-4dc2-be6d-6bb09b442891,Skull Island: Reign of Kong™,ATTRACTION,0.2563,28.469317,-81.473013,"https://www.google.com/maps/search/?api=1&query=28.469317,-81.473013",https://api.themeparks.wiki/v1/entity/370ba4d1-f199-4dc2-be6d-6bb09b442891,6be23178-7d00-4884-9e88-76787da1df86,The Amazing Adventures of Spider-Man®,ATTRACTION,0.2404,28.4705456,-81.469852,"https://www.google.com/maps/search/?api=1&query=28.4705456,-81.469852",https://api.themeparks.wiki/v1/entity/6be23178-7d00-4884-9e88-76787da1df86
MANUAL_REVIEW,CANDIDATE_8,Hogwarts Express - Hogsmeade Station,Islands of Adventure,64,,,,NONE,,Compare the LIVE_RIDE_NAME to candidate name; confirm the candidate is the same attraction in the PARK shown; prefer an ATTRACTION entrance location.,,,,docs/universal/day-07-departure.md,144450b9-4574-46be-abdf-4b1ca8974d9d,Hogwarts Express™ - Hogsmeade™ Station,ATTRACTION,0.6361,28.47335422690903,-81.47246613,"https://www.google.com/maps/search/?api=1&query=28.47335422690903,-81.47246613265335",https://api.themeparks.wiki/v1/entity/144450b9-4574-46be-abdf-4b1ca8974d9d,d7310719-f158-4d92-a476-13202c7162cd,Ollivanders™ Experience in Hogsmeade™,SHOW,0.3164,28.472809,-81.473077,"https://www.google.com/maps/search/?api=1&query=28.472809,-81.473077",https://api.themeparks.wiki/v1/entity/d7310719-f158-4d92-a476-13202c7162cd,578bbd12-1975-4ec3-9879-ea641c780342,Hagrid's Magical Creatures Motorbike Adventure™,ATTRACTION,0.228,28.47308,-81.472862,"https://www.google.com/maps/search/?api=1&query=28.47308,-81.472862",https://api.themeparks.wiki/v1/entity/578bbd12-1975-4ec3-9879-ea641c780342
MANUAL_REVIEW,CANDIDATE_9,If I Ran The Zoo,Islands of Adventure,64,,,,NONE,,Compare the LIVE_RIDE_NAME to candidate name; confirm the candidate is the same attraction in the PARK shown; prefer an ATTRACTION entrance location.,,,,docs/universal/day-05-islands-of-adventure.md,391dea99-303d-42a1-aa86-a846d1c1fa1f,If I Ran The Zoo™,ATTRACTION,0.8177,28.472643,-81.4696767,"https://www.google.com/maps/search/?api=1&query=28.472643,-81.4696767",https://api.themeparks.wiki/v1/entity/391dea99-303d-42a1-aa86-a846d1c1fa1f,f6d4294c-8825-4712-a891-36d45b5eb0f4,Seuss Character Zone,SHOW,0.2063,28.473045,-81.47006,"https://www.google.com/maps/search/?api=1&query=28.473045,-81.47006",https://api.themeparks.wiki/v1/entity/f6d4294c-8825-4712-a891-36d45b5eb0f4,cc2f2601-09d2-43b8-83ef-2a367b929761,Triwizard Spirit Rally,SHOW,0.1941,28.4725985,-81.473455,"https://www.google.com/maps/search/?api=1&query=28.4725985,-81.473455",https://api.themeparks.wiki/v1/entity/cc2f2601-09d2-43b8-83ef-2a367b929761
AUTO_RECOMMENDED,CANDIDATE_10,Jurassic Park Discovery Center,Islands of Adventure,64,6012,,,NONE,CANDIDATE_1,Compare the LIVE_RIDE_NAME to candidate name; confirm the candidate is the same attraction in the PARK shown; prefer an ATTRACTION entrance location.,,,,docs/universal/day-05-islands-of-adventure.md,22dcd29e-d76a-45cd-b44a-dd6350dc3f8a,Jurassic Park Discovery Center,ATTRACTION,1,28.47156,-81.47265,"https://www.google.com/maps/search/?api=1&query=28.47156,-81.47265",https://api.themeparks.wiki/v1/entity/22dcd29e-d76a-45cd-b44a-dd6350dc3f8a,db5b2165-15c2-4e51-8bd1-611e9c351866,Jurassic Park River Adventure,ATTRACTION,0.5455,28.470597,-81.473134,"https://www.google.com/maps/search/?api=1&query=28.470597,-81.473134",https://api.themeparks.wiki/v1/entity/db5b2165-15c2-4e51-8bd1-611e9c351866,61079a31-4165-4fb0-b36f-c01c5971f80a,Jurassic World VelociCoaster,ATTRACTION,0.3807,28.471429,-81.472284,"https://www.google.com/maps/search/?api=1&query=28.471429,-81.472284",https://api.themeparks.wiki/v1/entity/61079a31-4165-4fb0-b36f-c01c5971f80a
AUTO_RECOMMENDED,CANDIDATE_11,Jurassic Park River Adventure,Islands of Adventure,64,5994,,,NONE,CANDIDATE_1,Compare the LIVE_RIDE_NAME to candidate name; confirm the candidate is the same attraction in the PARK shown; prefer an ATTRACTION entrance location.,,,,docs/universal/day-05-islands-of-adventure.md,db5b2165-15c2-4e51-8bd1-611e9c351866,Jurassic Park River Adventure,ATTRACTION,1,28.470597,-81.473134,"https://www.google.com/maps/search/?api=1&query=28.470597,-81.473134",https://api.themeparks.wiki/v1/entity/db5b2165-15c2-4e51-8bd1-611e9c351866,22dcd29e-d76a-45cd-b44a-dd6350dc3f8a,Jurassic Park Discovery Center,ATTRACTION,0.5455,28.47156,-81.47265,"https://www.google.com/maps/search/?api=1&query=28.47156,-81.47265",https://api.themeparks.wiki/v1/entity/22dcd29e-d76a-45cd-b44a-dd6350dc3f8a,61079a31-4165-4fb0-b36f-c01c5971f80a,Jurassic World VelociCoaster,ATTRACTION,0.3285,28.471429,-81.472284,"https://www.google.com/maps/search/?api=1&query=28.471429,-81.472284",https://api.themeparks.wiki/v1/entity/61079a31-4165-4fb0-b36f-c01c5971f80a
